wallet,seerscore,rank_overall,raw_seer_score,pnl_usd_approx,volume_usd,trade_count,active_days
0x183a2A0b034877e761af0778dA5134bEbC37d514,8,62,1.5914286533523372,253851.30967263563,783727.1025176253,320,31
0xC88EB9AB98663254BFf489C515f39F23B76BF3e1,8,63,1.5877693239533097,162788.99501037944,5266774.565969998,3015,84
0xd73d208bB247d64DF5CC8ba3100aeE95Bc91213a,8,64,1.5868181542415098,266646.142288897,1755966.025582538,282,21
0x1DbD30000DD7Dd051E8Fc803FAC38e8246D9AF92,8,65,1.5745306555918597,112534.6082984084,9285186.32774628,15040,255
0x687a55bDdBac59DC6239E6756Bf4D92E9D717650,8,66,1.567578835008663,366324.3863450001,488745.67440000013,124,2
0x2EeF07265112701A45469eF756Feec9454241113,8,67,1.556516857060777,115090.25896513932,4812715.261259758,18408,109
0x9a73373B3F0E4aF0f91eAb0f1919EdcCb898f447,8,68,1.5484493637144443,250298.36073674422,1998664.1472965174,471,10
0x36f3904B018311bFD17D8390CC7ab22b4a77Cf5B,8,69,1.547417970751895,365211.57070340007,493831.74060000014,106,2
0xc2dE5e6f13D60FC5c98a5a805ECD1317C1a8f76E,8,70,1.5255199099693446,135747.42465887973,5511068.247658619,8904,39
0xF2F6aF4F27Ec2DcF4072095aB804016E14cD5817,8,71,1.5235291989320419,137794.60242287524,1793110.6182704042,3303,171
0xAaF4ACAFBb7980ce93631D238Eb10A5C4cA67883,8,72,1.51657777269687,118606.7617217807,3148151.258776127,6931,226
0xdb7513a3c54d579d64EE64C948C85D2f27620252,8,73,1.5039094354681488,217764.46937407998,1608431.1292400002,519,20
0x7CAeeAdF0421F75e60945A839B8716080891Fb5c,8,74,1.4834757974188673,289039.93436303665,2093638.4166433155,274,2
0x9FD67C137FEDb5f65B1E14337E491F69Ac6DB8A1,8,75,1.4767545882827213,113160.81879600688,2180095.0250945333,7533,182
0xb786b8B6335e77DFaD19928313e97753039cB18D,8,76,1.4742266956624455,114628.18944530892,2409469.2271441836,8598,122
0xCfdD6663018840621FA812Ba6043acb5B1FA29D1,8,77,1.4665187108898534,81868.25533646846,9470993.37469734,25361,683
0xbCb6eBb4368dd51722D68D25c740CdE2ef5fC7C9,8,78,1.435276916166577,236990.34144663977,1033423.2798606965,337,6
0x8E5a5D37A354F4E05BAdD0D9E91b519774E44eF5,8,79,1.4252743876824068,121243.79501240431,4238782.271159392,3320,160
0x18B9FF13d2564889685f268871B317E27B1e7D2F,8,80,1.4169004589822924,108269.69481252953,15908164.86457,33224,10
0xF9F5581d4D7a599b8e2f8D1b1B0e29CA0218227a,8,81,1.411972574878728,249384.06406166602,572492.8874687768,138,11
0xD7aA1eFD6Bb64014741244Bc5899f78d0978036B,8,82,1.3891955832382186,118548.29598185846,3275857.5890075136,6107,43
0xD68f18B3D24c1Cc7e61Dc9325aa6AebA59ba0a13,8,83,1.3834055140493413,242612.08933902,1640661.0385274882,205,5
0x2c3eAB37A5bfeeBa3c8017049613D7a405163d75,8,84,1.3653836568695177,214964.681945566,723425.4197695686,343,6
0xE639E41094BBEAe18f3e6d1790C17299183F082a,8,85,1.3443642420354867,147845.00618207,2744613.3945899997,907,50
0x288109f7D5F4B59A27D5781ADF7cae28288DB303,8,86,1.3341791663165914,137911.97098457997,700803.89956,929,88
0x18639b3A9cD2FEB9cfF3C07Df6CF83E3a77BC2A3,8,87,1.3317948221521703,93473.67350908546,2259060.2590484824,7518,172
0x84c8855a9c4Def842266eCf7e7533040E2A3f4B7,8,88,1.3315249123979946,94190.59197919871,2904653.033992961,5380,277
0x0e9B9cB7Ee710B57FBcBEFdcb518a3a986a16e75,8,89,1.3310420374682645,182764.11278363003,1619096.6470589996,610,8
0x7058c8A7CEc79010B1927D05837Dcf25F1A53505,8,90,1.3248402793491665,186832.53133689996,836271.1988990289,394,12
0x75416EE95F80713B1c177013d028e47c7bbFAD86,8,91,1.3239274962840346,73290.54503786736,6774267.725120001,38266,139
0x7Ca5e8e735d1714104A534c9F39E2a29ab116139,8,92,1.3227441622245026,90220.1629903412,2444520.4969392684,4951,447
0x1Ac1FcbD400BC79e4Ac5ACabb1CEd879eA9c4DF7,8,93,1.3004763249651603,135863.37507182654,2486239.7902794075,929,63
0x5431A20c76D561eced1b492C18a2A7229Bf447E1,8,94,1.2998272204657448,117950.80978291994,1585107.4089239999,1738,101
0x0DaF9707397575B67DC9EB152c9e6e3f7621662b,8,95,1.2819805823481003,227508.18642518303,621584.0864852476,173,3
0x37458262Ba1C521D3F3cf9976Fe95756d94f89A0,8,96,1.2819655007359338,69090.5060380638,4307544.816165534,37671,146
0x6d57dA09EF86a327524853b36fBd2E39Cf0CBFC5,8,97,1.2816684585590359,125506.72292190797,780540.717929827,939,111
0x6e4EC81DCe3C1C0713781bb392A14EC5Dc50eC98,8,98,1.272861148217848,220933.56978042005,499402.83040793054,193,3
0x1F64f2739A19Fc5cdFD7C3F50c42463aA8983E82,8,99,1.2680906469220932,65615.7943943689,8274674.468929647,27191,361
0xFbfD14Dd4Bb607373119De95F1D4b21C3b6c0029,8,100,1.2428283406156693,79145.56144007055,14383938.668007609,11129,146
0x1C3Cdc2Caa24eeB9434100F82ac32C22A26B1b01,8,101,1.2249485078530138,147452.5097677475,944995.4610227928,543,21
0xd9BB117f18C8eBd225A4EDB8FE71ccf7634B89ED,8,102,1.190599431566485,67143.30349582763,1597426.7346681305,10106,475
0xA24493DD9beBf113A04E5aA7D5cf5A65a878557F,8,103,1.1663226639503945,98625.68583081628,1841587.0926471064,3330,33
0xe388e29D4fffff222f6715510f85bbcA68eff1aF,8,104,1.16387028535599,67798.92390022716,3766021.6801307118,7015,533
0x7dc64A570C7b76831Cf25E31C526f2337a050fA2,8,105,1.1544536919508501,165517.56838915998,574752.13164,372,4
0x5869E74970B00EAabeC8215eC77e40b559FFDf51,8,106,1.1446711547119977,139940.0219527771,1579207.4429375036,501,13
0x53b233ebD85cfe9e96CC7f35F12085a992B5A165,8,107,1.1354722840347549,70520.9239687326,2400272.1883717543,16526,54
0xfa53065aEDa716621f6E2939Bea2a00D75CD0149,8,108,1.1337868642888544,143508.98188121227,243193.34907267094,406,12
0xC3c3b3ef304DdbEA39fa2246e683a71Da5D0eec8,8,109,1.1291945452226468,146121.56611446003,426224.4267595,249,21
0xFE911A4e80eE71b47cd1eE690733AC4062E970Ff,8,110,1.1259163010451338,62297.66127194578,6211453.880208918,15783,195
0x02D2b4fB6e7B8176fE70a103304AE4cdEB8CFf27,8,111,1.1237235080925059,175334.139811387,555236.1056054251,196,4
0x225A15D874b0C64469D01E0845D6DBea31f40948,8,112,1.1228119903005815,66400.79902590028,3716896.950477435,6785,386
0xc6208602D8a6295983eBfE0b0Aeb51cE92A82da3,8,113,1.118917005433979,70220.39018466012,7812265.329519997,8886,126
0x482BF5acCdeCFAffA67C14d4D4fbb59f428A3266,8,114,1.1188924319005797,69954.18490744103,4962509.68364077,11344,87
0xCe0eBBbfb38bABb8951c413F77A6E7D543a90D92,8,115,1.1127548206170148,180727.80208660124,600311.2545263574,221,2
0x675f929B91B968EF1f48Dd6C130Aa5D582739E0A,8,116,1.106096050846822,75505.53512699217,3555324.371537166,7803,59
0x4191281bE6a740BA59FFfD4644199F5A3514F02f,8,117,1.1042973345608869,71061.58261374995,2514017.897049999,7891,109
0x448861155279dBF833d041b963e3aC854599e319,8,118,1.1002751906801573,115227.8793169893,493555.2979725632,577,44
0x3F2Bebc298D6AaC47c5ad5d49AC7D363c68727A9,8,119,1.099464838240674,147554.5113971184,582954.1550629506,280,10
0x5d5C29E8961Ff6AF74faC20a867B58adc95cAc2A,8,120,1.09673737462643,221961.3738083522,426848.7896370019,51,2
0xd5F52231d2af24BBA8021DBD102C2bddfBefeA4e,8,121,1.0957221760576696,84774.94207351,1871245.2714800003,4383,38
0xCb2952fD655813AD0f9EE893122C54298E1A975E,8,122,1.0933183968173688,176524.0208267451,398452.29043210606,217,2
0xd1acd3925D895DE9AEC98Ff95F3A30C5279d08d5,8,123,1.092697877248845,70926.96464484849,4218983.581205815,4184,273
0x676146D7F28F2cef63419A60BB1fb4aFEc5DA94F,8,124,1.0908822039684976,97219.99902635001,2589221.4973700005,1530,47
0xD28E607B987dcA18eb4Fd06AC81186D548C02F42,8,125,1.0847014381162454,96884.8050512449,1924385.5061558124,1065,82
0xB14204b99B7F3dB158fc013bCB19751998B7a441,8,126,1.0843382265835642,140818.23495106012,671861.8714799999,353,9
0xF6fB8D57aE8e56DC97E807a4Aea0CCeC6e36581C,8,127,1.0780714822125126,81674.15546871594,1093343.6920728404,2202,140
0xE1e7036279433715711A65fc3254A8AF558C5fB6,8,128,1.0752211780411824,85259.68326330098,1527413.6483283883,1820,116
0x5225A8dd99f18903ea5A6df2c259ce8E1Bead16A,8,129,1.072663316827685,139962.38363501223,500212.76192783646,255,14
0x4CC3522B689A6Bf1fB4A2444c523e7776DB47552,8,130,1.0705544047794733,59033.37576956258,4425876.126459546,9482,365
0x4eCf2B491dEd63B43974dDA57dA82B485201efe8,8,131,1.0683572666193641,69357.04155214045,1593394.0013159038,3348,354
